student_secondary_edu,student_higher_edu,mother_secondary_edu,mother_higher_edu,father_secondary_edu,father_higher_edu,1st_5_enrolled,1st_6_enrolled,1st_7_enrolled,1st_gt_7_enrolled,2nd_5_enrolled,2nd_6_enrolled,2nd_7_enrolled,2nd_8_enrolled,2nd_gt_8_enrolled,app_phase,app_older23,app_inter,age_lt20,age_lt25_gt20,age_lt30_gt25,CU1sem_Eval1grp_678,CU1sem_Eval1grp_lt6,CU1sem_Eval1grp_gt8,CU1sem_approv1grp_5,CU1sem_approv1grp_lt5,CU1sem_approv1grp_gt5,cu1st_sem_without_eval_0,cu1st_sem_without_eval_1_2,cu2nd_sem_without_eval_0,cu2nd_sem_without_eval_1,cu2nd_sem_without_eval_2,CU2sem_Eval1grp_679,CU2sem_Eval1grp_8,CU2sem_Eval1grp_lt6,CU2sem_Eval1grp_gt9,CU2sem_approv1grp_5,CU2sem_approv1grp_0,CU2sem_approv1grp_1234,CU2sem_approv1grp_gt5,mother_occupation_grp0,mother_occupation_grp168,mother_occupation_grp2357,mother_occupation_grp4910,father_occupation_grp0,father_occupation_grp124,father_occupation_grp3568,father_occupation_grp7,father_occupation_grp910,Course_33,Course_171,Course_9003,Course_9070,Course_9085,Course_9119,Course_9130,Course_9147_9670,Course_9238_8014,Course_9254,Course_9500,Course_9556,Course_9773,Course_9853,Course_9991,previous_qualification_grade,admission_grade,curricular_units_1st_sem_grade,curricular_units_2nd_sem_grade,1st_sem_approved_all_enrolled,2nd_sem_approved_all_enrolled,single,daytime/evening_attendance,displaced,debtor,tuition_fees_up_to_date,gender,scholarship_holder,unemployment_rate,inflation_rate,gdp,cu1st_sem_without_eval_comb,cu2nd_sem_without_eval_comb,CU1sem_Eval1,CU1sem_approv1,CU2sem_Eval1,CU2sem_approv1,amode,mother_occupation,father_occupation,course,cu1sem_enroll,cu2sem_enroll,age,pquali,mquali,fquali,target_bin
0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,120,120,13.61538462,14.25,1,1,1,1,1,0,1,0,0,13.9,-0.3,0.79,1,0,2,1,1,2,2,2,4,9070,1,1,2,2,1,3,0
0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,140,139,15.8,14.8,1,1,1,0,0,0,1,0,0,8.9,1.4,3.51,0,0,0,5,0,5,3,3,4,9991,5,5,3,2,1,3,0
1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,135,129.1,14.66666667,14.57142857,1,1,1,1,0,0,1,0,0,15.5,2.8,-4.06,0,0,1,1,2,2,4,3,1,9238,6,6,1,1,1,3,0
1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,133.1,128.2,0,0,0,0,0,1,0,0,1,0,0,7.6,2.6,0.32,0,0,0,0,0,0,3,0,0,9085,5,5,3,1,3,3,1
1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,137,120.8,14.65428571,14.65428571,0,0,1,1,1,0,1,0,1,10.8,1.4,1.74,0,0,1,1,8,2,1,2,3,9500,1,8,1,1,3,3,0
0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,122,135.8,12.40142857,12.40142857,0,0,1,1,0,0,1,0,0,10.8,1.4,1.74,0,0,1,1,8,2,3,3,2,9500,1,8,2,2,3,1,0
1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,128,118.9,11.5875,14.07142857,1,0,1,1,1,0,1,0,0,13.9,-0.3,0.79,0,0,1,1,2,2,1,3,4,9500,7,8,2,1,1,1,0
0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,140,140,14,15.6,1,1,1,0,0,0,1,0,0,12.4,0.5,1.79,0,0,0,5,0,5,2,1,2,9991,5,5,3,2,3,3,0
1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,132,127.1,12.33333333,11.83333333,1,1,1,1,1,0,1,0,1,8.9,1.4,3.51,0,0,2,1,2,2,1,3,3,9238,6,6,2,1,1,3,0
1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,131,137,14,15.4,1,1,1,1,0,0,1,0,0,7.6,2.6,0.32,0,0,0,5,2,5,1,0,0,9085,5,5,1,1,3,3,0
1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,126,127.4,15.23076923,12.375,1,1,1,1,1,0,1,0,0,15.5,2.8,-4.06,0,0,2,1,1,2,1,3,4,9085,6,6,1,1,1,1,0
1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,133.1,97,11.6,11,0,0,1,1,1,0,1,0,0,12.7,3.7,-1.7,0,0,2,5,2,1,1,3,4,9853,6,6,2,1,3,3,1
1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,136,126.3,11.6,11.6,0,0,1,1,1,0,1,0,1,7.6,2.6,0.32,0,0,1,1,2,2,1,3,4,9500,7,7,1,1,3,3,0
1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,140,127.5,0,0,0,0,1,1,0,0,1,0,0,12.7,3.7,-1.7,0,0,0,0,0,0,1,3,2,9500,7,8,1,1,1,3,1
1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,135,126.6,12.90142857,13.09444444,1,1,1,1,0,0,1,0,1,11.1,0.6,2.02,0,0,1,1,2,2,1,2,2,9500,7,8,1,1,2,1,0
1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,160,120,14.14285714,14.8,1,1,1,0,0,0,1,0,0,7.6,2.6,0.32,0,0,2,1,0,5,2,3,2,9991,7,5,4,1,1,2,0
0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,140,140,0,0,0,0,1,1,1,0,1,0,0,15.5,2.8,-4.06,0,0,0,0,0,0,2,3,2,9085,6,6,3,2,1,2,1
1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,140,131.5,13.25375,13.25375,1,1,1,1,1,0,1,0,0,9.4,-0.8,-3.12,0,0,1,1,8,2,1,2,2,9500,1,8,1,1,2,1,0
1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,115,112.2,13.78571429,14.1,1,1,1,1,1,0,1,0,0,12.4,0.5,1.79,0,0,1,1,8,2,4,2,2,9556,7,8,2,1,3,2,0
1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,144,150.5,13.91666667,13.91666667,0,0,1,1,0,0,1,0,0,7.6,2.6,0.32,0,0,1,1,2,2,1,3,2,9500,7,7,2,1,3,3,0
1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,128,121,13.5,13.57142857,1,1,1,1,1,0,1,0,0,11.1,0.6,2.02,0,0,1,1,2,2,1,2,3,9670,6,6,1,1,3,3,0
1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,116,112.2,11.33333333,10.66666667,0,0,1,1,1,0,1,0,0,10.8,1.4,1.74,0,0,1,0,1,1,4,3,1,9147,5,5,2,1,3,2,0
1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,135,129.4,0,0,0,0,0,1,1,0,1,0,0,10.8,1.4,1.74,2,3,1,0,1,0,1,3,1,9085,5,5,2,1,3,1,1
1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,121,114.4,11.5,14.6,0,0,1,1,0,0,1,0,0,11.1,0.6,2.02,0,0,2,5,2,1,4,3,4,9670,6,6,1,1,3,3,0
1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,134,120.3,12.08285714,12.08285714,0,0,1,1,1,0,1,0,1,10.8,1.4,1.74,0,0,1,1,8,2,1,3,4,9500,1,8,1,1,3,3,0
1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,120,120,11.83333333,12.8,1,0,1,0,0,0,1,0,1,15.5,2.8,-4.06,0,0,1,1,1,5,3,2,2,8014,6,6,3,1,3,3,0
1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,125,114.5,13.4,12.4,1,1,1,1,1,0,1,0,1,12.4,0.5,1.79,0,0,1,5,0,5,4,1,2,9147,5,5,1,1,3,3,0
1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,141,127.8,0,0,0,0,1,1,0,0,1,0,1,7.6,2.6,0.32,1,2,1,0,2,0,1,0,2,9500,7,7,1,1,1,1,1
1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,140,124.6,14.2,14.57142857,0,1,1,1,1,0,1,0,0,15.5,2.8,-4.06,0,0,1,5,2,2,1,3,2,9773,6,6,1,1,1,3,0
1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,144,130.3,13.81428571,13.81428571,0,0,1,1,1,0,1,0,1,12.7,3.7,-1.7,0,0,1,1,8,2,1,2,2,9500,1,8,1,1,3,3,0
1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,122,118.2,11.25,10.5,0,1,1,1,0,0,1,0,1,12.4,0.5,1.79,0,0,2,0,2,2,4,2,2,9254,6,6,2,1,3,3,0
1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,130,118.8,14.5,13.66666667,1,1,1,1,0,0,1,0,1,12.7,3.7,-1.7,0,0,1,1,8,2,1,3,2,9670,6,6,1,1,3,3,0
1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,133.1,133,0,0,0,0,1,1,1,0,1,0,0,7.6,2.6,0.32,0,0,0,0,0,0,1,2,1,9670,6,6,1,1,3,1,1
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,133.1,129,11.3,11.3,0,0,0,1,1,0,1,0,0,7.6,2.6,0.32,0,0,1,1,2,2,3,3,4,9500,7,7,4,3,3,3,0
1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,147,100,0,16,0,0,1,1,0,0,1,0,0,10.8,1.4,1.74,0,0,0,0,0,1,2,2,1,9556,0,0,1,1,2,2,0
1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,127,120.7,12,12,0,0,1,1,1,1,1,0,0,12.7,3.7,-1.7,0,0,2,0,2,1,2,3,2,9130,5,5,1,1,3,3,0
1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,136,132.5,12.3,12.3,0,0,1,1,1,0,1,0,0,12.7,3.7,-1.7,0,0,2,1,2,2,4,3,2,9500,1,8,1,1,3,3,0
1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,127,120.3,12.69428571,12.69428571,0,0,1,1,1,0,1,0,1,10.8,1.4,1.74,0,0,1,1,8,2,1,2,2,9500,1,8,1,1,3,3,0
1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,123,114.6,11,11,0,0,1,1,0,0,1,0,0,9.4,-0.8,-3.12,0,0,0,0,0,1,4,1,1,9670,5,5,1,1,3,3,0
1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,128,116.5,13,14.16666667,1,1,1,1,1,0,1,0,1,12.4,0.5,1.79,0,0,1,1,2,2,1,3,2,9238,6,6,1,1,3,3,0
1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,128,127.8,14.4125,16.05,1,1,1,1,0,0,1,0,1,13.9,-0.3,0.79,0,0,1,1,8,2,1,2,1,9500,7,8,1,1,2,1,0
1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,140,129.9,12.92875,14.0625,1,1,1,1,1,0,1,0,0,15.5,2.8,-4.06,0,0,1,1,8,2,1,2,3,9500,7,8,1,1,1,3,1
1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,121,118.9,13.33333333,12.8,1,0,1,1,1,0,1,0,0,11.1,0.6,2.02,0,0,1,1,1,5,1,3,3,9773,6,6,2,1,1,3,0
1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,122,114.3,12.8,12.8,0,0,1,1,1,0,1,0,1,12.4,0.5,1.79,0,0,1,5,2,5,1,2,4,9254,6,6,2,1,3,3,0
1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,126,114.8,14.40285714,14.40285714,0,0,1,1,1,0,1,0,0,10.8,1.4,1.74,0,0,1,1,8,2,4,2,2,9500,1,8,2,1,3,3,0
1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,135,123,13.38142857,13.38142857,0,0,1,1,1,0,1,0,1,10.8,1.4,1.74,0,0,1,1,8,2,1,3,2,9500,1,8,1,1,3,3,0
1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,131,122.1,14.13125,13.98375,1,1,1,1,1,0,1,0,0,15.5,2.8,-4.06,0,0,1,1,8,2,1,2,2,9500,7,8,1,1,3,3,0
1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,140,123.7,11.71428571,12.6,1,1,1,1,0,0,1,0,0,9.4,-0.8,-3.12,1,0,2,5,2,5,4,3,3,9085,5,5,1,1,3,3,0
1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,131,132.4,11.8,11.25,1,0,1,1,1,0,1,0,0,9.4,-0.8,-3.12,0,0,0,5,8,1,1,3,3,9147,5,5,1,1,3,3,0
1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,130,114.8,11.16666667,11,1,0,0,0,0,0,1,0,0,7.6,2.6,0.32,0,1,2,1,1,1,3,0,0,8014,6,6,4,1,3,3,0
0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,130,130,0,0,0,0,1,1,0,0,1,0,0,12.4,0.5,1.79,0,0,1,0,2,0,2,2,2,9003,6,6,4,2,3,3,1
1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,140,122.3,13.6,12,0,0,1,1,0,0,1,0,0,12.7,3.7,-1.7,0,0,2,5,8,5,2,3,2,9853,6,6,2,1,3,3,1
1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,130,152.4,13.84615385,14.09090909,1,0,0,1,1,0,1,0,0,8.9,1.4,3.51,0,0,2,1,1,2,3,3,4,9003,1,1,4,1,1,3,0
1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,125,120.1,12.5,13.33333333,1,1,1,1,0,0,1,0,1,16.2,0.3,-0.92,0,0,1,1,8,2,4,2,3,9773,6,6,1,1,3,3,0
1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,160,155.1,16.4,14.6,1,1,1,1,1,0,1,0,0,12.7,3.7,-1.7,0,0,0,5,0,5,1,2,1,9130,5,5,2,1,2,2,0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,130,124.5,13.81818182,13.45454545,1,1,1,1,0,0,1,0,1,11.1,0.6,2.02,0,0,2,1,1,2,2,2,3,9070,1,1,2,1,3,3,0
1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,144,126.9,10.6,10.5,0,0,1,1,0,0,1,0,0,15.5,2.8,-4.06,0,0,1,5,1,1,4,2,2,9238,6,6,1,1,2,1,0
0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,133.1,153.2,10.2,12.2,1,1,1,1,1,1,1,0,0,12.4,0.5,1.79,0,0,1,5,2,5,3,2,2,9147,5,5,2,3,2,1,0
1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,148,129.8,10.6,10.4,0,0,1,1,0,0,1,0,0,15.5,2.8,-4.06,0,0,2,5,1,1,4,3,4,9238,6,6,2,1,1,1,0
1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,133.1,135,11.44444444,10.8,0,0,1,0,0,0,1,0,0,10.8,1.4,1.74,0,0,2,1,1,5,2,2,2,8014,1,1,3,1,2,2,1
1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,133,131.3,14.33333333,12.625,0,1,1,1,1,0,1,0,0,15.5,2.8,-4.06,0,0,2,5,8,2,1,2,4,9853,6,8,2,1,1,3,0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,129,125.2,13,13.26666667,1,1,1,1,0,0,1,0,1,9.4,-0.8,-3.12,0,0,2,1,1,2,2,0,0,9238,1,1,2,1,3,3,0
